freq	NFmin
1.30000000000000004E9	4.32984824750874520E-1
1.39999999999999991E9	4.52946470652597899E-1
1.50000000000000000E9	4.74509137778642831E-1
1.60000000000000009E9	4.97132648096881624E-1
1.69999999999999996E9	5.20484287914763311E-1
1.80000000000000004E9	5.44358998117627468E-1
1.89999999999999991E9	5.68631425290531567E-1
2.00000000000000000E9	5.93226822478685278E-1
2.10000000000000009E9	6.18103121364206398E-1
2.20000000000000018E9	6.43239685322034482E-1
2.29999999999999982E9	6.68630109260819694E-1
2.39999999999999991E9	6.94277506911967812E-1
2.50000000000000000E9	7.20191350873267222E-1
2.60000000000000009E9	7.46385296796360365E-1
2.70000000000000018E9	7.72875640838892597E-1
2.79999999999999982E9	7.99680190820146741E-1
2.89999999999999991E9	8.26817411921350320E-1
3.00000000000000000E9	8.54305757342197758E-1
3.10000000000000009E9	8.82163126606070946E-1
3.20000000000000018E9	9.10406413604754228E-1
3.29999999999999982E9	9.39051120610788459E-1
3.39999999999999991E9	9.68111021874778643E-1
3.50000000000000000E9	9.97597867774254077E-1
3.60000000000000009E9	1.02752112294909459E0
3.70000000000000018E9	1.05788773514308332E0
3.79999999999999982E9	1.08870193385899228E0
3.89999999999999991E9	1.11996505672739777E0
4.00000000000000000E9	1.15167540559909876E0
4.09999999999999964E9	1.18382813154272037E0
4.20000000000000018E9	1.21641515014401036E0
4.29999999999999982E9	1.24942508701692701E0
4.40000000000000036E9	1.28284325488081419E0
4.50000000000000000E9	1.31665166176517179E0
4.59999999999999964E9	1.35082904926885150E0
4.70000000000000018E9	1.38535096248822476E0
4.79999999999999982E9	1.42018984833613904E0
4.90000000000000036E9	1.45531518330883181E0
5.00000000000000000E9	1.49069362397466021E0
5.09999999999999964E9	1.52628918736123986E0
5.20000000000000018E9	1.56206344707040423E0
5.29999999999999982E9	1.59797575366655420E0
5.40000000000000036E9	1.63398346885051193E0
5.50000000000000000E9	1.67004221319980450E0
5.59999999999999964E9	1.70610612791457350E0
5.70000000000000018E9	1.74212814018160600E0
5.79999999999999982E9	1.77806023452726869E0


freq	nf(2)
1.30000000000000004E9	1.38604943815909265E0
1.39999999999999991E9	1.02509939733289612E0
1.50000000000000000E9	8.13622001840437292E-1
1.60000000000000009E9	7.01687317389776766E-1
1.69999999999999996E9	6.53336345345787706E-1
1.80000000000000004E9	6.44190279855346493E-1
1.89999999999999991E9	6.58329852333692234E-1
2.00000000000000000E9	6.85607900316043128E-1
2.10000000000000009E9	7.19671863574464421E-1
2.20000000000000018E9	7.56614912573153475E-1
2.29999999999999982E9	7.94090599084997528E-1
2.39999999999999991E9	8.30742611869167469E-1
2.50000000000000000E9	8.65840444697425227E-1
2.60000000000000009E9	8.99047125914792566E-1
2.70000000000000018E9	9.30271013221496545E-1
2.79999999999999982E9	9.59571033056411693E-1
2.89999999999999991E9	9.87095968125262679E-1
3.00000000000000000E9	1.01304551534371146E0
3.10000000000000009E9	1.03764532232991513E0
3.20000000000000018E9	1.06113103310992263E0
3.29999999999999982E9	1.08373815880201096E0
3.39999999999999991E9	1.10569571976733694E0
3.50000000000000000E9	1.12722233167457486E0
3.60000000000000009E9	1.14852387146165835E0
3.70000000000000018E9	1.16979216162837307E0
3.79999999999999982E9	1.19120430849168923E0
3.89999999999999991E9	1.21292245560355649E0
4.00000000000000000E9	1.23509380259834134E0
4.09999999999999964E9	1.25785079124891030E0
4.20000000000000018E9	1.28131139990867982E0
4.29999999999999982E9	1.30557950976918313E0
4.40000000000000036E9	1.33074532392800626E0
4.50000000000000000E9	1.35688582835526494E0
4.59999999999999964E9	1.38406528965806697E0
4.70000000000000018E9	1.41233579164506295E0
4.79999999999999982E9	1.44173780921814587E0
4.90000000000000036E9	1.47230082420458430E0
5.00000000000000000E9	1.50404397930432632E0
5.09999999999999964E9	1.53697678159581264E0
5.20000000000000018E9	1.57109984280135939E0
5.29999999999999982E9	1.60640566794144646E0
5.40000000000000036E9	1.64287948222190194E0
5.50000000000000000E9	1.68050009653998500E0
5.59999999999999964E9	1.71924081160706543E0
5.70000000000000018E9	1.75907034872363988E0
5.79999999999999982E9	1.79995380804263183E0


